"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3467","[TC-AORD-03][P2] Filter ไม่พบ order ในสถานะนั้น","chromium","2026-09-01","skipped","2026-09-01","Admin — Orders Management","admin/TC_AORD_001_admin_orders.spec.ts","",""
"","182","GET /api/products?search=nike — returns only Nike products","chromium","2026-09-01","passed","2026-09-01","API — Products","api/products.api.spec.ts","",""
"","3543","POST /api/cart — add item, cart count increases","chromium","2026-09-01","passed","2026-09-01","API — Cart","api/cart.api.spec.ts","",""
"","3470","POST /api/auth/login — wrong password returns 401","chromium","2026-09-01","passed","2026-09-01","API — Auth","api/auth.api.spec.ts","",""
"","977","[TC-AUTH-03][P2] สมัคร — password สั้น (< 6 ตัว)","chromium","2026-09-01","passed","2026-09-01","Authentication — Register","auth/TC_AUTH_002_register.spec.ts","",""
"","4296","TC_CART_002 add to cart without size shows validation error","chromium","2026-09-01","passed","2026-09-01","","cart/TC_CART_001_add_to_cart.spec.ts","",""
"","4809","[TC-CHK-02][P1] ตะกร้าว่าง redirect ไป cart","chromium","2026-09-01","passed","2026-09-01","Checkout","checkout/TC_CHK_001_checkout.spec.ts","",""
"","9146","[TC-CHK-04][P0] สั่งซื้อสำเร็จ","chromium","2026-09-01","failed","2026-09-01","Checkout","checkout/TC_CHK_001_checkout.spec.ts","",""
"","1147","[TC-PROD-09][P1] คลิกไป Product Detail","chromium","2026-09-01","passed","2026-09-01","Products — Product List","products/TC_PROD_001_product_list.spec.ts","",""
"","1080","[TC-I18N-03][P2] ภาษาคงอยู่หลัง reload","chromium","2026-09-01","passed","2026-09-01","i18n — Language Switching","i18n/TC_I18N_001_language.spec.ts","",""
"","973","[TC-HOME-02][P2] Hero CTA ไป Products","chromium","2026-09-01","passed","2026-09-01","Homepage","home/TC_HOME_001_homepage.spec.ts","",""
"","951","[TC-NAV-05][P2] Language dropdown เปิด/ปิด","chromium","2026-09-01","passed","2026-09-01","Navigation","nav/TC_NAV_001_navigation.spec.ts","",""
"","4049","[TC-ORD-01][P2] ไม่มีออเดอร์ — empty state","chromium","2026-09-01","passed","2026-09-01","Orders","orders/TC_ORD_001_orders.spec.ts","",""
"","1046","[TC-PROD-03][P2] ค้นหาแล้วไม่พบสินค้า","chromium","2026-09-01","passed","2026-09-01","Products — Product List","products/TC_PROD_001_product_list.spec.ts","",""
"","1165","[TC-I18N-04][P2] Dynamic content ใช้ภาษาที่เลือก","chromium","2026-09-01","passed","2026-09-01","i18n — Language Switching","i18n/TC_I18N_001_language.spec.ts","",""
"","3595","[TC-APROD-06][P3] Modal ปิดด้วยคลิก backdrop","chromium","2026-09-01","passed","2026-09-01","Admin — Products Management","admin/TC_APROD_001_admin_products.spec.ts","",""
"","4068","[TC-DASH-03][P1] Non-admin เข้า dashboard — redirect","chromium","2026-09-01","passed","2026-09-01","Admin — Dashboard","admin/TC_DASH_001_dashboard.spec.ts","",""
"","4849","TC_CART_001 add product to cart updates cart count","chromium","2026-09-01","passed","2026-09-01","","cart/TC_CART_001_add_to_cart.spec.ts","",""
"","782","[TC-NAV-03][P1] Navbar ของ Admin","chromium","2026-09-01","passed","2026-09-01","Navigation","nav/TC_NAV_001_navigation.spec.ts","",""
"","4646","[TC-DETAIL-04][P0] Add to Cart สำเร็จ","chromium","2026-09-01","passed","2026-09-01","Products — Product Detail","products/TC_DETAIL_001_product_detail.spec.ts","",""
"","2826","POST /api/products — user token (non-admin) returns 403","chromium","2026-09-01","passed","2026-09-01","API — Products","api/products.api.spec.ts","",""
"","3540","[TC-PROF-01][P1] โหลดหน้า profile พร้อมข้อมูล","chromium","2026-09-01","passed","2026-09-01","Profile","profile/TC_PROF_001_profile.spec.ts","",""
"","3889","[TC-DETAIL-03][P1] Add to Cart ไม่เลือก size","chromium","2026-09-01","passed","2026-09-01","Products — Product Detail","products/TC_DETAIL_001_product_detail.spec.ts","",""
"","4762","[TC-APROD-05][P3] Modal ปิดด้วยปุ่ม X","chromium","2026-09-01","passed","2026-09-01","Admin — Products Management","admin/TC_APROD_001_admin_products.spec.ts","",""
"","132","GET /api/products — returns paginated product list","chromium","2026-09-01","passed","2026-09-01","API — Products","api/products.api.spec.ts","",""
"","90","GET /api/products/1 — returns product detail","chromium","2026-09-01","passed","2026-09-01","API — Products","api/products.api.spec.ts","",""
"","4884","[TC-APROD-03][P1] เพิ่มสินค้า — ไม่กรอก required","chromium","2026-09-01","passed","2026-09-01","Admin — Products Management","admin/TC_APROD_001_admin_products.spec.ts","",""
"","0","[TC-CHK-05][P1] Validation — field ว่าง","chromium","2026-09-01","skipped","2026-09-01","Checkout","checkout/TC_CHK_001_checkout.spec.ts","",""
"","4235","[TC-ORD-04][P1] User เข้า order ของคนอื่น","chromium","2026-09-01","passed","2026-09-01","Orders","orders/TC_ORD_001_orders.spec.ts","",""
"","6029","[TC-AUTH-08][P1] Logout สำเร็จ","chromium","2026-09-01","passed","2026-09-01","Authentication — Logout","auth/TC_AUTH_001_login_success.spec.ts","",""
"","3707","[TC-CART-01][P2] ตะกร้าว่าง","chromium","2026-09-01","passed","2026-09-01","Cart — Cart Management","cart/TC_CART_002_cart_management.spec.ts","",""
"","187","GET /api/admin/users — returns all users without password fields","chromium","2026-09-01","passed","2026-09-01","API — Admin","api/admin.api.spec.ts","",""
"","738","[TC-PROD-05][P2] Filter ตาม Brand","chromium","2026-09-01","passed","2026-09-01","Products — Product List","products/TC_PROD_001_product_list.spec.ts","",""
"","4788","[TC-AUTH-05][P0] Login สำเร็จ — User","chromium","2026-09-01","passed","2026-09-01","Authentication — Login","auth/TC_AUTH_001_login_success.spec.ts","",""
"","4534","[TC-APROD-02][P1] เพิ่มสินค้าใหม่สำเร็จ","chromium","2026-09-01","passed","2026-09-01","Admin — Products Management","admin/TC_APROD_001_admin_products.spec.ts","",""
"","796","[TC-PROD-06][P2] Sort ราคา ต่ำ→สูง","chromium","2026-09-01","passed","2026-09-01","Products — Product List","products/TC_PROD_001_product_list.spec.ts","",""
"","6995","[TC-PROF-03][P1] เปลี่ยนรหัสผ่านสำเร็จ","chromium","2026-09-01","passed","2026-09-01","Profile","profile/TC_PROF_001_profile.spec.ts","",""
"","3786","[TC-CART-02][P1] ตะกร้ามีสินค้า","chromium","2026-09-01","passed","2026-09-01","Cart — Cart Management","cart/TC_CART_002_cart_management.spec.ts","",""
"","677","[TC-NAV-01][P0] Navbar ของ Guest","chromium","2026-09-01","passed","2026-09-01","Navigation","nav/TC_NAV_001_navigation.spec.ts","",""
"","5491","[TC-CART-03][P1] แก้ไขจำนวนสินค้า","chromium","2026-09-01","passed","2026-09-01","Cart — Cart Management","cart/TC_CART_002_cart_management.spec.ts","",""
"","2963","POST /api/auth/login — valid credentials returns token and user","chromium","2026-09-01","passed","2026-09-01","API — Auth","api/auth.api.spec.ts","",""
"","3273","GET /api/cart — authenticated returns cart structure","chromium","2026-09-01","passed","2026-09-01","API — Cart","api/cart.api.spec.ts","",""
"","4772","[TC-NAV-04][P2] User dropdown เปิด/ปิด","chromium","2026-09-01","passed","2026-09-01","Navigation","nav/TC_NAV_001_navigation.spec.ts","",""
"","5386","[TC-APROD-07][P2] ลบสินค้า","chromium","2026-09-01","passed","2026-09-01","Admin — Products Management","admin/TC_APROD_001_admin_products.spec.ts","",""
"","860","[TC-I18N-01][P1] เปลี่ยนเป็นภาษาอังกฤษ","chromium","2026-09-01","passed","2026-09-01","i18n — Language Switching","i18n/TC_I18N_001_language.spec.ts","",""
